,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Blumenau, SC, Brasil",2024-11-04,24.0,18.7,20.9,24.0,18.7,20.9,20.4,97.3,18.9,100.0,87.5,rain,0,0,31.3,24.1,102.6,1014.3,95.0,7.4,45.6,3.9,3,10,2024-11-04T05:23:25,2024-11-04T18:36:40,0.11,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"SBNF,AV742,remote"
1,"Blumenau, SC, Brasil",2024-11-05,24.3,19.5,21.2,24.3,19.5,21.2,20.8,97.7,5.9,100.0,75.0,rain,0,0,8.6,5.0,124.3,1014.0,83.4,11.1,100.4,8.5,6,10,2024-11-05T05:22:46,2024-11-05T18:37:23,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,
2,"Blumenau, SC, Brasil",2024-11-06,25.8,19.8,21.8,25.8,19.8,21.8,20.9,95.2,4.1,77.4,41.67,rain,0,0,12.6,6.1,94.7,1012.3,96.1,21.1,179.4,15.4,8,30,2024-11-06T05:22:08,2024-11-06T18:38:05,0.18,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
3,"Blumenau, SC, Brasil",2024-11-07,27.1,20.5,22.7,29.3,20.5,22.9,21.3,92.3,17.3,100.0,58.33,rain,0,0,14.0,5.8,345.6,1008.7,99.9,15.1,171.5,14.9,8,30,2024-11-07T05:21:32,2024-11-07T18:38:49,0.21,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
4,"Blumenau, SC, Brasil",2024-11-08,22.8,17.5,20.3,22.8,17.5,20.3,18.4,89.4,3.1,71.0,66.67,rain,0,0,31.0,8.3,125.3,1012.6,100.0,22.8,114.9,10.0,5,10,2024-11-08T05:20:57,2024-11-08T18:39:32,0.25,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
5,"Blumenau, SC, Brasil",2024-11-09,19.7,15.9,17.6,19.7,15.9,17.6,14.0,80.1,0.6,12.9,16.67,rain,0,0,28.4,7.2,110.8,1017.3,89.8,24.0,113.4,9.8,4,10,2024-11-09T05:20:24,2024-11-09T18:40:16,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
6,"Blumenau, SC, Brasil",2024-11-10,24.6,14.3,18.5,24.6,14.3,18.5,13.2,73.3,0.0,3.2,0.0,,0,0,12.2,10.4,91.2,1016.3,48.0,24.1,301.6,26.1,10,10,2024-11-10T05:19:51,2024-11-10T18:41:00,0.32,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
7,"Blumenau, SC, Brasil",2024-11-11,27.2,14.8,19.7,27.1,14.8,19.7,13.9,72.2,0.0,22.6,0.0,,0,0,10.8,7.6,17.5,1010.5,55.3,24.1,324.3,28.1,10,10,2024-11-11T05:19:21,2024-11-11T18:41:45,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
