,datetime,tempmin,temp,tempmax
0,2024-10-28,16.8,21.0,24.5
1,2024-10-29,20.2,23.3,27.2
2,2024-10-30,20.0,23.5,28.0
3,2024-10-31,17.8,22.8,26.0
4,2024-11-01,17.1,22.3,25.0
5,2024-11-02,19.0,22.9,26.0
6,2024-11-03,20.1,23.2,25.0
7,2024-11-04,18.7,20.9,24.0
