,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Blumenau, SC, Brasil",2024-10-28,24.5,16.8,21.0,24.5,16.8,21.0,16.2,74.4,0.2,100,8.33,rain,0,0,18.4,20.9,49.4,1019.4,83.8,12.9,223.1,19.4,9,10,2024-10-28T05:28:31,2024-10-28T18:31:55,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBNF,82599199999,86948099999,AV742,86957099999"
1,"Blumenau, SC, Brasil",2024-10-29,27.2,20.2,23.3,28.6,20.2,23.4,19.0,77.4,0.9,100,37.5,rain,0,0,16.6,14.2,66.1,1016.9,74.8,12.9,155.3,13.3,8,10,2024-10-29T05:27:43,2024-10-29T18:32:34,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBNF,86946099999,82599199999,86948099999,AV742,86957099999"
2,"Blumenau, SC, Brasil",2024-10-30,28.0,20.0,23.5,29.6,20.0,23.7,19.6,79.5,4.8,100,75.0,rain,0,0,44.6,24.1,89.9,1016.8,64.1,12.4,212.5,18.4,9,30,2024-10-30T05:26:57,2024-10-30T18:33:14,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBNF,86946099999,82599199999,86948099999,AV742,86957099999"
3,"Blumenau, SC, Brasil",2024-10-31,26.0,17.8,22.8,26.0,17.8,22.8,18.2,75.9,2.5,100,41.67,rain,0,0,20.2,22.3,94.3,1017.6,52.4,11.3,143.2,12.1,7,10,2024-10-31T05:26:12,2024-10-31T18:33:55,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBNF,AV742,remote"
4,"Blumenau, SC, Brasil",2024-11-01,25.0,17.1,22.3,25.0,17.1,22.3,19.6,85.6,1.5,100,54.17,rain,0,0,22.0,24.1,73.4,1016.3,83.0,12.2,180.8,15.8,7,10,2024-11-01T05:25:29,2024-11-01T18:34:35,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"SBNF,AV742,remote"
5,"Blumenau, SC, Brasil",2024-11-02,26.0,19.0,22.9,26.0,19.0,22.9,21.2,90.4,3.5,100,70.83,rain,0,0,16.6,24.1,65.6,1015.1,91.9,10.9,52.4,4.5,2,10,2024-11-02T05:24:46,2024-11-02T18:35:16,0.04,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"SBNF,AV742,remote"
6,"Blumenau, SC, Brasil",2024-11-03,25.0,20.1,23.2,25.0,20.1,23.2,22.2,93.7,21.9,100,75.0,rain,0,0,33.1,24.1,89.7,1014.5,91.5,9.0,50.1,4.3,2,10,2024-11-03T05:24:05,2024-11-03T18:35:58,0.07,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"SBNF,AV742,remote"
7,"Blumenau, SC, Brasil",2024-11-04,24.0,18.7,20.9,24.0,18.7,20.9,20.4,97.3,18.9,100,87.5,rain,0,0,31.3,24.1,102.6,1014.3,95.0,7.4,45.6,3.9,3,10,2024-11-04T05:23:25,2024-11-04T18:36:40,0.11,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"SBNF,AV742,remote"
