,datetime,description,icon
0,2024-10-28,Partly cloudy throughout the day with rain.,rain
1,2024-10-29,Partly cloudy throughout the day with a chance of rain throughout the day.,rain
2,2024-10-30,Partly cloudy throughout the day with a chance of rain throughout the day.,rain
3,2024-10-31,Partly cloudy throughout the day with rain.,rain
4,2024-11-01,Partly cloudy throughout the day with a chance of rain throughout the day.,rain
5,2024-11-02,Cloudy skies throughout the day with a chance of rain throughout the day.,rain
6,2024-11-03,Cloudy skies throughout the day with a chance of rain throughout the day.,rain
7,2024-11-04,Cloudy skies throughout the day with a chance of rain throughout the day.,rain
