,datetime,tempmin,temp,tempmax
0,2024-10-14,17.0,19.7,22.7
1,2024-10-15,18.3,20.3,22.0
2,2024-10-16,17.7,22.3,28.3
3,2024-10-17,19.9,22.5,27.7
4,2024-10-18,19.5,22.3,27.7
5,2024-10-19,18.6,20.3,21.9
6,2024-10-20,17.4,20.8,24.1
7,2024-10-21,19.7,22.1,24.5
