,datetime,tempmin,temp,tempmax
0,2024-10-21,19.7,22.1,24.5
1,2024-10-22,20.8,24.7,29.7
2,2024-10-23,21.3,24.3,28.0
3,2024-10-24,21.7,24.6,30.5
4,2024-10-25,19.6,24.8,32.1
5,2024-10-26,19.5,23.0,28.0
6,2024-10-27,18.0,20.0,22.5
7,2024-10-28,16.8,21.0,24.5
