,datetime,description,icon
0,2024-10-21,Cloudy skies throughout the day with a chance of rain throughout the day.,rain
1,2024-10-22,Partly cloudy throughout the day with rain.,rain
2,2024-10-23,Partly cloudy throughout the day with rain.,rain
3,2024-10-24,Partly cloudy throughout the day with late afternoon rain.,rain
4,2024-10-25,Partly cloudy throughout the day.,partly-cloudy-day
5,2024-10-26,Becoming cloudy in the afternoon.,partly-cloudy-day
6,2024-10-27,Cloudy skies throughout the day with late afternoon rain.,rain
7,2024-10-28,Partly cloudy throughout the day with rain.,rain
