,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Blumenau, SC, Brasil",2024-10-21,24.5,19.7,22.1,24.5,19.7,22.1,19.8,86.7,4.3,100,50.0,rain,0,0,24.8,20.2,70.0,1018.6,91.3,12.5,102.8,8.6,5,10,2024-10-21T05:34:30,2024-10-21T18:27:32,0.64,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"SBNF,86946099999,82599199999,86948099999,AV742,86957099999"
1,"Blumenau, SC, Brasil",2024-10-22,29.7,20.8,24.7,33.7,20.8,25.7,21.4,82.8,0.5,100,20.83,rain,0,0,12.6,11.1,40.1,1015.5,66.5,10.8,200.8,17.2,8,30,2024-10-22T05:33:36,2024-10-22T18:28:08,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBNF,86946099999,82599199999,86948099999,AV742,86957099999"
2,"Blumenau, SC, Brasil",2024-10-23,28.0,21.3,24.3,31.0,21.3,24.7,21.5,85.0,0.7,100,12.5,rain,0,0,9.4,10.8,71.8,1012.0,62.2,12.9,141.5,12.3,9,10,2024-10-23T05:32:42,2024-10-23T18:28:45,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBNF,86946099999,82599199999,86948099999,AV742,86957099999"
3,"Blumenau, SC, Brasil",2024-10-24,30.5,21.7,24.6,35.5,21.7,25.6,21.5,83.4,0.2,100,4.17,rain,0,0,57.6,21.7,305.1,1003.5,59.3,9.5,162.0,14.0,7,60,2024-10-24T05:31:50,2024-10-24T18:29:22,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"SBNF,86946099999,82599199999,86948099999,AV742,86957099999"
4,"Blumenau, SC, Brasil",2024-10-25,32.1,19.6,24.8,31.3,19.6,24.7,17.8,69.5,0.0,0,0.0,,0,0,50.0,22.7,247.2,1004.1,25.1,12.4,234.5,20.3,9,10,2024-10-25T05:30:59,2024-10-25T18:30:00,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBNF,86946099999,82599199999,86948099999,AV742,86957099999"
5,"Blumenau, SC, Brasil",2024-10-26,28.0,19.5,23.0,27.8,19.5,23.0,16.3,67.7,0.0,0,0.0,,0,0,46.4,25.9,173.9,1012.6,48.5,12.2,212.6,18.6,9,10,2024-10-26T05:30:08,2024-10-26T18:30:38,0.8,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"SBNF,86946099999,82599199999,D7023,86948099999,AV742,86957099999"
6,"Blumenau, SC, Brasil",2024-10-27,22.5,18.0,20.0,22.5,18.0,20.0,13.8,67.7,0.1,100,4.17,rain,0,0,11.5,11.8,85.7,1021.2,91.8,12.9,98.2,8.4,4,10,2024-10-27T05:29:19,2024-10-27T18:31:16,0.84,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"SBNF,86946099999,82599199999,D7023,86948099999,86957099999,AV742"
7,"Blumenau, SC, Brasil",2024-10-28,24.5,16.8,21.0,24.5,16.8,21.0,16.2,74.4,0.2,100,8.33,rain,0,0,18.4,20.9,49.4,1019.4,83.8,12.9,223.1,19.4,9,10,2024-10-28T05:28:31,2024-10-28T18:31:55,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"SBNF,82599199999,86948099999,AV742,86957099999"
